match_id,game_id,team,score_team,opponent,score_opp,win_lose,map,map_pick
52776,117186,FNC,13,BBL,9,team win,Haven,team pick
52776,117186,BBL,9,FNC,13,opponent win,Haven,opponent pick
52776,117187,FNC,13,BBL,11,team win,Split,opponent pick
52776,117187,BBL,11,FNC,13,opponent win,Split,opponent pick
52777,117188,TH,13,KC,5,team win,Icebox,team pick
52777,117188,KC,5,TH,13,opponent win,Icebox,opponent pick
52777,117189,TH,13,KC,2,team win,Split,opponent pick
52777,117189,KC,2,TH,13,opponent win,Split,team pick
53533,119187,VIT,4,FUT,13,opponent win,Lotus,opponent pick
53533,119187,FUT,13,VIT,4,team win,Lotus,team pick
53533,119188,VIT,10,FUT,13,opponent win,Haven,team pick
53533,119188,FUT,13,VIT,10,team win,Haven,opponent pick
53534,119190,NAVI,13,BBL,10,team win,Ascent,opponent pick
53534,119190,BBL,10,NAVI,13,opponent win,Ascent,team pick
53534,119191,NAVI,13,BBL,8,team win,Fracture,team pick
53534,119191,BBL,8,NAVI,13,opponent win,Fracture,opponent pick
53535,119193,FNC,13,TH,3,team win,Icebox,team pick
53535,119193,TH,3,FNC,13,opponent win,Icebox,opponent pick
53535,119194,FNC,13,TH,6,team win,Ascent,opponent pick
53535,119194,TH,6,FNC,13,opponent win,Ascent,team pick
53536,119196,TL,13,KC,5,team win,Ascent,team pick
53536,119196,KC,5,TL,13,opponent win,Ascent,opponent pick
53536,119197,TL,13,KC,2,team win,Split,opponent pick
53536,119197,KC,2,TL,13,opponent win,Split,team pick
53537,119199,KOI,1,GIA,13,opponent win,Lotus,opponent pick
53537,119199,GIA,13,KOI,1,team win,Lotus,team pick
53537,119200,KOI,11,GIA,13,opponent win,Ascent,team pick
53537,119200,GIA,13,KOI,11,team win,Ascent,opponent pick
53538,119202,NAVI,13,TH,3,team win,Pearl,team pick
53538,119202,TH,3,NAVI,13,opponent win,Pearl,opponent pick
53538,119203,NAVI,9,TH,13,opponent win,Lotus,opponent pick
53538,119203,TH,13,NAVI,9,team win,Lotus,team pick
53538,119204,NAVI,13,TH,2,team win,Ascent,opponent pick
53538,119204,TH,2,NAVI,13,opponent win,Ascent,opponent pick
53539,119206,KOI,9,FUT,13,opponent win,Ascent,team pick
53539,119206,FUT,13,KOI,9,team win,Ascent,opponent pick
53539,126175,KOI,6,FUT,13,opponent win,Icebox,opponent pick
53539,126175,FUT,13,KOI,6,team win,Icebox,team pick
53540,119208,TL,6,FNC,13,opponent win,Lotus,team pick
53540,119208,FNC,13,TL,6,team win,Lotus,opponent pick
53540,119209,TL,6,FNC,13,opponent win,Haven,opponent pick
53540,119209,FNC,13,TL,6,team win,Haven,team pick
53541,119211,GIA,13,BBL,10,team win,Icebox,opponent pick
53541,119211,BBL,10,GIA,13,opponent win,Icebox,team pick
53541,119212,GIA,13,BBL,3,team win,Split,team pick
53541,119212,BBL,3,GIA,13,opponent win,Split,opponent pick
53542,119214,VIT,13,KC,2,team win,Ascent,opponent pick
53542,119214,KC,2,VIT,13,opponent win,Ascent,team pick
53542,119215,VIT,13,KC,6,team win,Split,team pick
53542,119215,KC,6,VIT,13,opponent win,Split,opponent pick
53562,119246,TH,8,TL,13,opponent win,Split,opponent pick
53562,119246,TL,13,TH,8,team win,Split,team pick
53562,119247,TH,15,TL,17,opponent win,Fracture,team pick
53562,119247,TL,17,TH,15,team win,Fracture,opponent pick
53564,119252,FUT,5,GIA,13,opponent win,Icebox,team pick
53564,119252,GIA,13,FUT,5,team win,Icebox,opponent pick
53564,119253,FUT,11,GIA,13,opponent win,Split,opponent pick
53564,119253,GIA,13,FUT,11,team win,Split,team pick
53565,119255,KC,11,NAVI,13,opponent win,Ascent,opponent pick
53565,119255,NAVI,13,KC,11,team win,Ascent,team pick
53565,119256,KC,7,NAVI,13,opponent win,Lotus,team pick
53565,119256,NAVI,13,KC,7,team win,Lotus,opponent pick
53566,119258,BBL,13,VIT,8,team win,Ascent,team pick
53566,119258,VIT,8,BBL,13,opponent win,Ascent,opponent pick
53566,119259,BBL,13,VIT,9,team win,Haven,opponent pick
53566,119259,VIT,9,BBL,13,opponent win,Haven,team pick
53567,119261,GIA,13,TL,11,team win,Ascent,opponent pick
53567,119261,TL,11,GIA,13,opponent win,Ascent,team pick
53567,119262,GIA,11,TL,13,opponent win,Icebox,team pick
53567,119262,TL,13,GIA,11,team win,Icebox,opponent pick
53567,119263,GIA,10,TL,13,opponent win,Lotus,opponent pick
53567,119263,TL,13,GIA,10,team win,Lotus,opponent pick
53568,119264,BBL,14,TH,12,team win,Haven,team pick
53568,119264,TH,12,BBL,14,opponent win,Haven,opponent pick
53568,119265,BBL,10,TH,13,opponent win,Lotus,opponent pick
53568,119265,TH,13,BBL,10,team win,Lotus,team pick
53568,119266,BBL,13,TH,2,team win,Icebox,opponent pick
53568,119266,TH,2,BBL,13,opponent win,Icebox,opponent pick
53569,119267,KOI,6,KC,13,opponent win,Lotus,opponent pick
53569,119267,KC,13,KOI,6,team win,Lotus,team pick
53569,119268,KOI,13,KC,8,team win,Ascent,team pick
53569,119268,KC,8,KOI,13,opponent win,Ascent,opponent pick
53569,119269,KOI,11,KC,13,opponent win,Haven,opponent pick
53569,119269,KC,13,KOI,11,team win,Haven,opponent pick
53570,119270,FUT,5,FNC,13,opponent win,Icebox,opponent pick
53570,119270,FNC,13,FUT,5,team win,Icebox,team pick
53570,119271,FUT,5,FNC,13,opponent win,Lotus,team pick
53570,119271,FNC,13,FUT,5,team win,Lotus,opponent pick
53571,119273,VIT,10,NAVI,13,opponent win,Split,team pick
53571,119273,NAVI,13,VIT,10,team win,Split,opponent pick
53571,119274,VIT,10,NAVI,13,opponent win,Fracture,opponent pick
53571,119274,NAVI,13,VIT,10,team win,Fracture,team pick
53572,119276,VIT,12,FNC,14,opponent win,Haven,opponent pick
53572,119276,FNC,14,VIT,12,team win,Haven,team pick
53572,119277,VIT,8,FNC,13,opponent win,Bind,team pick
53572,119277,FNC,13,VIT,8,team win,Bind,opponent pick
53573,119279,FUT,13,KC,8,team win,Haven,team pick
53573,119279,KC,8,FUT,13,opponent win,Haven,opponent pick
53573,119280,FUT,13,KC,5,team win,Ascent,opponent pick
53573,119280,KC,5,FUT,13,opponent win,Ascent,team pick
53574,119282,KOI,13,BBL,3,team win,Pearl,team pick
53574,119282,BBL,3,KOI,13,opponent win,Pearl,opponent pick
53574,119283,KOI,4,BBL,13,opponent win,Ascent,opponent pick
53574,119283,BBL,13,KOI,4,team win,Ascent,team pick
53574,119284,KOI,5,BBL,13,opponent win,Bind,opponent pick
53574,119284,BBL,13,KOI,5,team win,Bind,opponent pick
53575,119285,NAVI,13,TL,11,team win,Fracture,team pick
53575,119285,TL,11,NAVI,13,opponent win,Fracture,opponent pick
53575,119286,NAVI,13,TL,11,team win,Bind,opponent pick
53575,119286,TL,11,NAVI,13,opponent win,Bind,team pick
53576,119288,GIA,9,TH,13,opponent win,Pearl,team pick
53576,119288,TH,13,GIA,9,team win,Pearl,opponent pick
53576,119289,GIA,14,TH,16,opponent win,Lotus,opponent pick
53576,119289,TH,16,GIA,14,team win,Lotus,team pick
53563,119249,KOI,4,FNC,13,opponent win,Lotus,opponent pick
53563,119249,FNC,13,KOI,4,team win,Lotus,team pick
53563,119250,KOI,9,FNC,13,opponent win,Ascent,team pick
53563,119250,FNC,13,KOI,9,team win,Ascent,opponent pick
53577,119291,GIA,13,VIT,6,team win,Lotus,team pick
53577,119291,VIT,6,GIA,13,opponent win,Lotus,opponent pick
53577,119292,GIA,10,VIT,13,opponent win,Split,opponent pick
53577,119292,VIT,13,GIA,10,team win,Split,team pick
53577,119293,GIA,13,VIT,10,team win,Ascent,opponent pick
53577,119293,VIT,10,GIA,13,opponent win,Ascent,opponent pick
53578,119294,FUT,9,NAVI,13,opponent win,Lotus,team pick
53578,119294,NAVI,13,FUT,9,team win,Lotus,opponent pick
53578,119295,FUT,11,NAVI,13,opponent win,Pearl,opponent pick
53578,119295,NAVI,13,FUT,11,team win,Pearl,team pick
53579,119297,KC,2,FNC,13,opponent win,Haven,opponent pick
53579,119297,FNC,13,KC,2,team win,Haven,team pick
