game_id,player_id,player,agent,acs,kill,death,assist
119204,3582,keloqz,jett,36,2,15,2
119206,565,starxo,omen,119,8,16,13
119206,3604,MOJJ,killjoy,148,11,15,6
126175,9558,Wolfen,sova,127,13,15,7
126175,10125,qw1,jett,489,24,10,2
119208,9780,Jamppi,skye,140,9,18,6
119208,438,Boaster,astra,144,10,10,9
119209,101,soulcas,breach,104,6,17,6
119209,438,Boaster,astra,147,11,10,8
119211,10,rhyme,sage,132,10,17,6
119211,8041,Brave,viper,197,16,22,4
119212,2690,hoody,viper,181,12,10,2
119212,1481,AsLanM4shadoW,raze,113,4,16,5
119214,1281,MOLSI,kayo,168,6,9,16
119214,2625,sh1n,viper,77,3,15,2
119215,4321,ceNder,cypher,165,11,12,3
119215,2622,Newzera,skye,51,3,13,4
119246,93,Mixwell,sage,156,11,18,4
119246,101,soulcas,sage,190,15,16,3
119247,3582,keloqz,jett,129,13,21,2
119247,101,soulcas,viper,96,9,22,6
119252,8044,MrFaliN,harbor,137,8,16,5
119252,292,Fit1nho,jett,178,10,11,3
119253,6510,AtaKaptan,astra,189,17,18,8
119253,10,rhyme,astra,175,15,18,8
119255,302,ZE1SH,kayo,96,7,18,9
119255,109,ANGE1,omen,179,15,19,6
119256,14669,Nivera,omen,86,5,18,6
119256,2858,SUYGETSU,viper,166,10,10,7
119258,568,Turko,kayo,146,11,13,12
119258,1137,Twisten,jett,161,13,17,1
119259,1481,AsLanM4shadoW,killjoy,198,17,15,1
119259,1137,Twisten,jett,94,6,18,3
119261,3070,nukkye,kayo,151,11,19,13
119261,1427,Redgar,omen,119,10,19,8
119262,2690,hoody,viper,92,7,18,8
119262,1427,Redgar,harbor,92,6,16,8
119263,10,rhyme,breach,143,12,19,7
119263,9780,Jamppi,breach,130,11,16,10
119264,556,SouhcNi,sova,181,16,17,10
119264,1507,AvovA,omen,103,8,21,8
119265,1481,AsLanM4shadoW,killjoy,200,15,19,6
119265,93,Mixwell,viper,170,11,18,10
119266,1481,AsLanM4shadoW,sage,209,12,10,7
119266,1144,Boo,harbor,77,3,14,4
119267,1428,sheydos,breach,88,5,15,6
119267,302,ZE1SH,viper,211,15,13,4
119268,565,starxo,omen,148,11,15,15
119268,4603,xms,killjoy,95,5,13,5
119269,565,starxo,raze,172,12,20,4
119269,302,ZE1SH,breach,108,6,17,16
119270,8044,MrFaliN,sova,123,6,15,3
119270,438,Boaster,viper,123,8,10,4
119271,1139,qRaxs,kayo,108,6,16,7
119271,1380,Leo,fade,128,8,8,2
119273,3672,BONECOLD,sage,177,13,19,7
119273,384,Shao,astra,154,12,15,10
119274,1615,Destrian,breach,98,7,20,11
119274,11,Zyppan,kayo,137,11,16,7
119276,1137,Twisten,jett,168,14,22,2
119276,438,Boaster,astra,139,13,15,9
119277,1615,Destrian,brimstone,149,10,18,6
119277,438,Boaster,brimstone,154,11,13,8
119279,3604,MOJJ,killjoy,111,8,15,2
119279,4603,xms,killjoy,116,7,16,3
119280,8044,MrFaliN,sova,192,12,12,8
119280,92,ScreaM,jett,142,6,18,4
119282,9558,Wolfen,jett,148,9,10,1
119282,10161,QutionerX,jett,117,6,15,4
119283,9558,Wolfen,jett,120,6,17,1
119283,556,SouhcNi,sova,141,9,8,10
119284,565,starxo,skye,98,6,15,4
119284,568,Turko,skye,133,8,9,11
119285,573,cNed,yoru,163,14,18,4
119285,457,nAts,cypher,138,10,18,6
119286,384,Shao,brimstone,138,11,16,10
119286,1427,Redgar,omen,155,13,19,5
119288,4181,Cloud,skye,129,9,17,10
119288,3582,keloqz,jett,251,20,18,2
119289,10,rhyme,omen,140,14,25,14
119289,3582,keloqz,neon,175,18,25,9
119249,339,koldamenta,omen,59,3,15,2
119249,438,Boaster,astra,141,8,9,8
119250,339,koldamenta,sova,105,8,15,4
119250,1380,Leo,sova,151,10,12,8
119291,2690,hoody,viper,182,11,12,6
119291,1137,Twisten,jett,129,7,17,2
119292,292,Fit1nho,kayo,144,11,19,11
119292,1137,Twisten,jett,161,13,18,2
119293,10,rhyme,omen,121,10,18,13
119293,1137,Twisten,jett,163,12,20,6
119294,3604,MOJJ,killjoy,179,14,17,4
119294,109,ANGE1,omen,180,13,17,11
119295,6510,AtaKaptan,astra,128,11,19,11
119295,384,Shao,astra,123,8,19,12
119297,92,ScreaM,jett,94,5,15,2
119297,438,Boaster,astra,135,8,6,7
119298,302,ZE1SH,viper,169,14,19,1
119298,9810,Alfajer,killjoy,140,10,14,7
119300,10161,QutionerX,jett,145,19,15,2
119300,9780,Jamppi,skye,128,14,15,10
119301,8041,Brave,omen,188,15,14,7
119301,1427,Redgar,omen,133,8,15,13
119302,1481,AsLanM4shadoW,brimstone,131,8,17,3
119302,101,soulcas,fade,103,7,11,8
119303,339,koldamenta,brimstone,183,13,14,9
119303,1507,AvovA,killjoy,172,11,16,6
119304,339,koldamenta,omen,164,12,17,8
119304,3582,keloqz,neon,181,15,18,3
119305,9558,Wolfen,jett,172,15,19,4
119305,1144,Boo,fade,155,14,16,7
119306,438,Boaster,astra,129,11,15,3
119306,573,cNed,jett,109,6,20,5
119307,438,Boaster,omen,109,7,13,12
119307,109,ANGE1,yoru,131,11,18,0
